ds,y
2026-04-15,913.1500244140624
2026-04-16,905.9000244140624
2026-04-17,908.25
2026-04-20,917.75
2026-04-21,938.8499755859376
2026-04-22,934.75
2026-04-23,918.3499755859376
2026-04-24,921.5499877929688
2026-04-27,921.7999877929688
2026-04-28,923.6500244140624
2026-04-29,930.0
2026-04-30,937.0
2026-05-01,937.0
2026-05-04,950.2000122070312
2026-05-05,958.5999755859376
2026-05-06,980.75
2026-05-07,972.75
2026-05-08,955.3499755859376
2026-05-11,936.0499877929688
2026-05-12,904.2000122070312
2026-05-13,
