ds,y
2026-04-07,1245.5
2026-04-08,1309.199951171875
2026-04-09,1281.300048828125
2026-04-10,1321.9000244140625
2026-04-13,1351.0999755859375
2026-04-15,1348.0999755859375
2026-04-16,1345.5
2026-04-17,1346.800048828125
2026-04-20,1356.199951171875
2026-04-21,1388.4000244140625
2026-04-22,1367.5999755859375
2026-04-23,1348.0
2026-04-24,1326.199951171875
2026-04-27,1314.0999755859375
2026-04-28,1292.0
2026-04-29,1281.0
2026-04-30,1263.4000244140625
2026-05-01,1263.4000244140625
2026-05-04,1270.800048828125
2026-05-05,1251.300048828125
2026-05-06,
