ds,y
2025-12-30,2290.199951171875
2025-12-31,2315.89990234375
2026-01-01,2323.0
2026-01-02,2348.0
2026-01-05,2384.10009765625
2026-01-06,2424.699951171875
2026-01-07,2399.39990234375
2026-01-08,2386.699951171875
2026-01-09,2372.60009765625
2026-01-12,2406.199951171875
2026-01-13,2389.5
2026-01-14,2353.5
2026-01-15,2353.5
2026-01-16,2360.39990234375
2026-01-19,2413.89990234375
2026-01-20,2379.10009765625
2026-01-21,2368.0
2026-01-22,2390.60009765625
2026-01-23,2409.5
2026-01-27,2400.89990234375
2026-01-28,2378.39990234375
2026-01-29,2352.60009765625
2026-01-30,2373.0
2026-02-02,2357.300048828125
2026-02-03,2368.60009765625
2026-02-04,2371.0
2026-02-05,2354.39990234375
2026-02-06,2424.199951171875
2026-02-09,2435.0
2026-02-10,2453.60009765625
2026-02-11,2462.89990234375
2026-02-12,2409.699951171875
2026-02-13,2305.199951171875
2026-02-16,2319.0
2026-02-17,2312.300048828125
2026-02-18,2323.5
2026-02-19,2279.300048828125
2026-02-20,2314.5
2026-02-23,2345.39990234375
2026-02-24,2358.60009765625
2026-02-25,2374.89990234375
2026-02-26,2383.300048828125
2026-02-27,2338.10009765625
2026-03-02,2320.60009765625
2026-03-04,2261.300048828125
2026-03-05,2255.0
2026-03-06,2225.699951171875
2026-03-09,2194.60009765625
2026-03-10,2190.199951171875
2026-03-11,2161.39990234375
2026-03-12,2136.89990234375
2026-03-13,2160.0
2026-03-16,2175.699951171875
2026-03-17,2158.199951171875
2026-03-18,2135.300048828125
2026-03-19,2077.300048828125
2026-03-20,2082.699951171875
2026-03-23,2052.199951171875
2026-03-24,2085.0
2026-03-25,2134.800048828125
