ds,y
2025-12-30,989.2999877929688
2025-12-31,986.7999877929688
2026-01-01,973.0999755859376
2026-01-02,990.4500122070312
2026-01-05,978.75
2026-01-06,977.3499755859376
2026-01-07,968.7999877929688
2026-01-08,971.9500122070312
2026-01-09,959.5999755859376
2026-01-12,951.9000244140624
2026-01-13,949.0
2026-01-14,945.9500122070312
2026-01-15,945.9500122070312
2026-01-16,950.25
2026-01-19,969.4500122070312
2026-01-20,933.2000122070312
2026-01-21,936.25
2026-01-22,942.8499755859376
2026-01-23,927.8499755859376
2026-01-27,914.7000122070312
2026-01-28,935.1500244140624
2026-01-29,935.1500244140624
2026-01-30,929.8499755859376
2026-02-02,903.7000122070312
2026-02-03,964.4000244140624
2026-02-04,963.2999877929688
2026-02-05,964.75
2026-02-06,981.7000122070312
2026-02-09,983.1500244140624
2026-02-10,965.5999755859376
2026-02-11,968.9500122070312
2026-02-12,999.0999755859376
2026-02-13,1024.75
2026-02-16,1012.75
2026-02-17,1014.1500244140624
2026-02-18,1023.7999877929688
2026-02-19,1017.0499877929688
2026-02-20,1030.199951171875
2026-02-23,1031.0
2026-02-24,1023.5499877929688
2026-02-25,1021.0499877929688
2026-02-26,1012.9500122070312
2026-02-27,995.9000244140624
2026-03-02,978.25
2026-03-04,945.0999755859376
2026-03-05,962.4000244140624
2026-03-06,950.2000122070312
2026-03-09,938.0499877929688
2026-03-10,939.7999877929688
2026-03-11,893.6500244140625
2026-03-12,863.0999755859375
2026-03-13,855.0499877929688
2026-03-16,878.1500244140625
2026-03-17,868.5999755859375
2026-03-18,880.0999755859375
2026-03-19,832.2000122070312
2026-03-20,830.5499877929688
2026-03-23,812.5999755859375
2026-03-24,849.0
2026-03-25,882.75
