ds,y,ticker,name
2021-04-23,2733.48974609375,TCS.NS,Tata Consultancy Services
2021-04-26,2725.841552734375,TCS.NS,Tata Consultancy Services
2021-04-27,2753.26904296875,TCS.NS,Tata Consultancy Services
2021-04-28,2746.32421875,TCS.NS,Tata Consultancy Services
2021-04-29,2738.544921875,TCS.NS,Tata Consultancy Services
2021-04-30,2668.569580078125,TCS.NS,Tata Consultancy Services
2021-05-03,2669.756591796875,TCS.NS,Tata Consultancy Services
2021-05-04,2680.96484375,TCS.NS,Tata Consultancy Services
2021-05-05,2721.359130859375,TCS.NS,Tata Consultancy Services
2021-05-06,2735.203857421875,TCS.NS,Tata Consultancy Services
2021-05-07,2754.06005859375,TCS.NS,Tata Consultancy Services
2021-05-10,2765.13671875,TCS.NS,Tata Consultancy Services
2021-05-11,2745.006103515625,TCS.NS,Tata Consultancy Services
2021-05-12,2714.23828125,TCS.NS,Tata Consultancy Services
2021-05-14,2682.50341796875,TCS.NS,Tata Consultancy Services
2021-05-17,2698.546875,TCS.NS,Tata Consultancy Services
2021-05-18,2715.292724609375,TCS.NS,Tata Consultancy Services
2021-05-19,2709.315185546875,TCS.NS,Tata Consultancy Services
2021-05-20,2689.975341796875,TCS.NS,Tata Consultancy Services
2021-05-21,2707.996337890625,TCS.NS,Tata Consultancy Services
2021-05-24,2708.87548828125,TCS.NS,Tata Consultancy Services
2021-05-25,2750.8359375,TCS.NS,Tata Consultancy Services
2021-05-26,2790.146484375,TCS.NS,Tata Consultancy Services
2021-05-27,2809.13916015625,TCS.NS,Tata Consultancy Services
2021-05-28,2776.98388671875,TCS.NS,Tata Consultancy Services
2021-05-31,2790.720458984375,TCS.NS,Tata Consultancy Services
2021-06-01,2785.28759765625,TCS.NS,Tata Consultancy Services
2021-06-02,2764.483642578125,TCS.NS,Tata Consultancy Services
2021-06-03,2774.908447265625,TCS.NS,Tata Consultancy Services
2021-06-04,2777.116455078125,TCS.NS,Tata Consultancy Services
2021-06-07,2811.965576171875,TCS.NS,Tata Consultancy Services
2021-06-08,2826.938720703125,TCS.NS,Tata Consultancy Services
2021-06-09,2827.027099609375,TCS.NS,Tata Consultancy Services
2021-06-10,2841.647216796875,TCS.NS,Tata Consultancy Services
2021-06-11,2892.0,TCS.NS,Tata Consultancy Services
2021-06-14,2894.251708984375,TCS.NS,Tata Consultancy Services
2021-06-15,2882.238525390625,TCS.NS,Tata Consultancy Services
2021-06-16,2892.4853515625,TCS.NS,Tata Consultancy Services
2021-06-17,2930.823974609375,TCS.NS,Tata Consultancy Services
2021-06-18,2912.7587890625,TCS.NS,Tata Consultancy Services
2021-06-21,2891.38134765625,TCS.NS,Tata Consultancy Services
2021-06-22,2916.2041015625,TCS.NS,Tata Consultancy Services
2021-06-23,2881.04541015625,TCS.NS,Tata Consultancy Services
2021-06-24,2980.16064453125,TCS.NS,Tata Consultancy Services
2021-06-25,2986.52099609375,TCS.NS,Tata Consultancy Services
2021-06-28,2947.60791015625,TCS.NS,Tata Consultancy Services
2021-06-29,2951.23046875,TCS.NS,Tata Consultancy Services
2021-06-30,2955.558837890625,TCS.NS,Tata Consultancy Services
2021-07-01,2951.80419921875,TCS.NS,Tata Consultancy Services
2021-07-02,2937.6259765625,TCS.NS,Tata Consultancy Services
2021-07-05,2933.69482421875,TCS.NS,Tata Consultancy Services
2021-07-06,2881.8408203125,TCS.NS,Tata Consultancy Services
2021-07-07,2893.015380859375,TCS.NS,Tata Consultancy Services
2021-07-08,2878.48388671875,TCS.NS,Tata Consultancy Services
2021-07-09,2834.005859375,TCS.NS,Tata Consultancy Services
2021-07-12,2820.711181640625,TCS.NS,Tata Consultancy Services
2021-07-13,2815.808349609375,TCS.NS,Tata Consultancy Services
2021-07-14,2839.65966796875,TCS.NS,Tata Consultancy Services
2021-07-15,2835.5869140625,TCS.NS,Tata Consultancy Services
2021-07-16,2828.371826171875,TCS.NS,Tata Consultancy Services
2021-07-19,2819.34228515625,TCS.NS,Tata Consultancy Services
2021-07-20,2838.1103515625,TCS.NS,Tata Consultancy Services
2021-07-22,2847.450439453125,TCS.NS,Tata Consultancy Services
2021-07-23,2844.351318359375,TCS.NS,Tata Consultancy Services
2021-07-26,2830.806884765625,TCS.NS,Tata Consultancy Services
2021-07-27,2817.88134765625,TCS.NS,Tata Consultancy Services
2021-07-28,2831.02783203125,TCS.NS,Tata Consultancy Services
2021-07-29,2829.2568359375,TCS.NS,Tata Consultancy Services
2021-07-30,2804.15869140625,TCS.NS,Tata Consultancy Services
2021-08-02,2850.150146484375,TCS.NS,Tata Consultancy Services
2021-08-03,2908.137939453125,TCS.NS,Tata Consultancy Services
