ds,y
2026-01-08,998.0
2026-01-09,1000.5
2026-01-12,1015.1500244140624
2026-01-13,1028.449951171875
2026-01-14,1028.3499755859375
2026-01-15,1028.3499755859375
2026-01-16,1042.300048828125
2026-01-19,1038.4000244140625
2026-01-20,1036.4000244140625
2026-01-21,1028.6500244140625
2026-01-22,1048.3499755859375
2026-01-23,1029.5
2026-01-27,1053.1500244140625
2026-01-28,1063.5
2026-01-29,1066.199951171875
2026-01-30,1077.1500244140625
2026-02-02,1028.699951171875
2026-02-03,1064.199951171875
2026-02-04,1068.199951171875
2026-02-05,1073.5
2026-02-06,1066.4000244140625
2026-02-09,1146.0
2026-02-10,1144.0999755859375
2026-02-11,1182.9000244140625
2026-02-12,1192.4000244140625
2026-02-13,1198.5999755859375
2026-02-16,1208.0999755859375
2026-02-17,1213.4000244140625
2026-02-18,1218.9000244140625
2026-02-19,1205.699951171875
2026-02-20,1216.0999755859375
2026-02-23,1227.800048828125
2026-02-24,1223.300048828125
2026-02-25,1200.0999755859375
2026-02-26,1209.5
2026-02-27,1201.699951171875
2026-03-02,1189.9000244140625
2026-03-04,1174.5
2026-03-05,1169.5
2026-03-06,1143.0
2026-03-09,1098.5
2026-03-10,1112.199951171875
2026-03-11,1091.0999755859375
2026-03-12,1085.199951171875
2026-03-13,1047.0
2026-03-16,1066.699951171875
2026-03-17,1064.699951171875
2026-03-18,1069.800048828125
2026-03-19,1048.9000244140625
2026-03-20,1058.0
2026-03-23,1031.9000244140625
2026-03-24,1030.800048828125
2026-03-25,1060.5999755859375
2026-03-27,1019.5
2026-03-30,979.4000244140624
2026-04-01,1017.7999877929688
2026-04-02,1018.4000244140624
2026-04-06,1032.75
2026-04-07,1030.4000244140625
2026-04-08,1061.449951171875
