ds,y,ticker,name
2021-08-12,2911.659912109375,TCS.NS,Tata Consultancy Services
2021-08-13,3008.650634765625,TCS.NS,Tata Consultancy Services
2021-08-16,3016.946044921875,TCS.NS,Tata Consultancy Services
2021-08-17,3086.529052734375,TCS.NS,Tata Consultancy Services
2021-08-18,3093.044189453125,TCS.NS,Tata Consultancy Services
2021-08-20,3092.13232421875,TCS.NS,Tata Consultancy Services
2021-08-23,3159.8037109375,TCS.NS,Tata Consultancy Services
2021-08-24,3138.78125,TCS.NS,Tata Consultancy Services
2021-08-25,3178.568115234375,TCS.NS,Tata Consultancy Services
2021-08-26,3189.73046875,TCS.NS,Tata Consultancy Services
2021-08-27,3231.688720703125,TCS.NS,Tata Consultancy Services
2021-08-30,3215.31396484375,TCS.NS,Tata Consultancy Services
2021-08-31,3289.282958984375,TCS.NS,Tata Consultancy Services
2021-09-01,3227.17138671875,TCS.NS,Tata Consultancy Services
2021-09-02,3332.97900390625,TCS.NS,Tata Consultancy Services
2021-09-03,3337.58349609375,TCS.NS,Tata Consultancy Services
2021-09-06,3346.226318359375,TCS.NS,Tata Consultancy Services
2021-09-07,3314.865966796875,TCS.NS,Tata Consultancy Services
2021-09-08,3278.598388671875,TCS.NS,Tata Consultancy Services
2021-09-09,3293.583251953125,TCS.NS,Tata Consultancy Services
2021-09-13,3340.44970703125,TCS.NS,Tata Consultancy Services
2021-09-14,3375.675537109375,TCS.NS,Tata Consultancy Services
2021-09-15,3435.3115234375,TCS.NS,Tata Consultancy Services
2021-09-16,3390.790771484375,TCS.NS,Tata Consultancy Services
2021-09-17,3325.24755859375,TCS.NS,Tata Consultancy Services
2021-09-20,3321.468505859375,TCS.NS,Tata Consultancy Services
2021-09-21,3355.739013671875,TCS.NS,Tata Consultancy Services
2021-09-22,3355.043701171875,TCS.NS,Tata Consultancy Services
2021-09-23,3361.2119140625,TCS.NS,Tata Consultancy Services
2021-09-24,3362.99267578125,TCS.NS,Tata Consultancy Services
2021-09-27,3333.15234375,TCS.NS,Tata Consultancy Services
2021-09-28,3282.941650390625,TCS.NS,Tata Consultancy Services
2021-09-29,3294.01806640625,TCS.NS,Tata Consultancy Services
2021-09-30,3279.814453125,TCS.NS,Tata Consultancy Services
2021-10-01,3240.4189453125,TCS.NS,Tata Consultancy Services
2021-10-04,3277.859375,TCS.NS,Tata Consultancy Services
2021-10-05,3329.98193359375,TCS.NS,Tata Consultancy Services
2021-10-06,3310.522705078125,TCS.NS,Tata Consultancy Services
2021-10-07,3381.75634765625,TCS.NS,Tata Consultancy Services
2021-10-08,3418.89306640625,TCS.NS,Tata Consultancy Services
2021-10-11,3201.675537109375,TCS.NS,Tata Consultancy Services
2021-10-12,3173.225341796875,TCS.NS,Tata Consultancy Services
2021-10-13,3175.266845703125,TCS.NS,Tata Consultancy Services
2021-10-14,3143.281005859375,TCS.NS,Tata Consultancy Services
2021-10-18,3174.3525390625,TCS.NS,Tata Consultancy Services
2021-10-19,3163.0380859375,TCS.NS,Tata Consultancy Services
2021-10-20,3141.017578125,TCS.NS,Tata Consultancy Services
2021-10-21,3074.565673828125,TCS.NS,Tata Consultancy Services
2021-10-22,3045.278564453125,TCS.NS,Tata Consultancy Services
2021-10-25,3040.142333984375,TCS.NS,Tata Consultancy Services
2021-10-26,3031.134521484375,TCS.NS,Tata Consultancy Services
2021-10-27,3037.357177734375,TCS.NS,Tata Consultancy Services
2021-10-28,2978.08544921875,TCS.NS,Tata Consultancy Services
2021-10-29,2957.28369140625,TCS.NS,Tata Consultancy Services
2021-11-01,3025.737548828125,TCS.NS,Tata Consultancy Services
2021-11-02,3032.527099609375,TCS.NS,Tata Consultancy Services
2021-11-03,3039.53369140625,TCS.NS,Tata Consultancy Services
2021-11-04,3053.80712890625,TCS.NS,Tata Consultancy Services
2021-11-08,3048.672119140625,TCS.NS,Tata Consultancy Services
2021-11-09,3051.239990234375,TCS.NS,Tata Consultancy Services
2021-11-10,3032.6142578125,TCS.NS,Tata Consultancy Services
2021-11-11,3036.00830078125,TCS.NS,Tata Consultancy Services
2021-11-12,3068.951904296875,TCS.NS,Tata Consultancy Services
2021-11-15,3092.66943359375,TCS.NS,Tata Consultancy Services
2021-11-16,3095.3671875,TCS.NS,Tata Consultancy Services
2021-11-17,3065.339111328125,TCS.NS,Tata Consultancy Services
2021-11-18,3025.12841796875,TCS.NS,Tata Consultancy Services
2021-11-22,3010.071533203125,TCS.NS,Tata Consultancy Services
2021-11-23,3015.163330078125,TCS.NS,Tata Consultancy Services
2021-11-24,2996.92919921875,TCS.NS,Tata Consultancy Services
2021-11-25,2999.192138671875,TCS.NS,Tata Consultancy Services
2021-11-26,3000.0185546875,TCS.NS,Tata Consultancy Services
2021-11-29,3048.0185546875,TCS.NS,Tata Consultancy Services
2021-11-30,3071.649169921875,TCS.NS,Tata Consultancy Services
2021-12-01,3113.992919921875,TCS.NS,Tata Consultancy Services
2021-12-02,3170.654052734375,TCS.NS,Tata Consultancy Services
2021-12-03,3168.521728515625,TCS.NS,Tata Consultancy Services
2021-12-06,3077.960693359375,TCS.NS,Tata Consultancy Services
2021-12-07,3119.82470703125,TCS.NS,Tata Consultancy Services
2021-12-08,3156.72802734375,TCS.NS,Tata Consultancy Services
2021-12-09,3134.838134765625,TCS.NS,Tata Consultancy Services
2021-12-10,3165.3447265625,TCS.NS,Tata Consultancy Services
2021-12-13,3141.714599609375,TCS.NS,Tata Consultancy Services
2021-12-14,3154.030029296875,TCS.NS,Tata Consultancy Services
2021-12-15,3107.5087890625,TCS.NS,Tata Consultancy Services
2021-12-16,3117.30078125,TCS.NS,Tata Consultancy Services
2021-12-17,3119.69384765625,TCS.NS,Tata Consultancy Services
2021-12-20,3095.802490234375,TCS.NS,Tata Consultancy Services
2021-12-21,3140.53955078125,TCS.NS,Tata Consultancy Services
2021-12-22,3160.07861328125,TCS.NS,Tata Consultancy Services
2021-12-23,3187.886962890625,TCS.NS,Tata Consultancy Services
2021-12-24,3195.024169921875,TCS.NS,Tata Consultancy Services
2021-12-27,3216.957275390625,TCS.NS,Tata Consultancy Services
2021-12-28,3226.052734375,TCS.NS,Tata Consultancy Services
2021-12-29,3215.738525390625,TCS.NS,Tata Consultancy Services
2021-12-30,3249.726806640625,TCS.NS,Tata Consultancy Services
2021-12-31,3253.730712890625,TCS.NS,Tata Consultancy Services
2022-01-03,3322.837158203125,TCS.NS,Tata Consultancy Services
2022-01-04,3381.15185546875,TCS.NS,Tata Consultancy Services
2022-01-05,3360.437255859375,TCS.NS,Tata Consultancy Services
2022-01-06,3313.872314453125,TCS.NS,Tata Consultancy Services
2022-01-07,3353.952880859375,TCS.NS,Tata Consultancy Services
2022-01-10,3376.886962890625,TCS.NS,Tata Consultancy Services
2022-01-11,3408.263427734375,TCS.NS,Tata Consultancy Services
2022-01-12,3359.523193359375,TCS.NS,Tata Consultancy Services
