ds,y
2026-01-08,3146.6962890625
2026-01-09,3150.52685546875
2026-01-12,3181.75927734375
2026-01-13,3209.652099609375
2026-01-14,3135.5
2026-01-15,3135.5
2026-01-16,3206.699951171875
2026-01-19,3163.60009765625
2026-01-20,3102.300048828125
2026-01-21,3122.60009765625
2026-01-22,3150.39990234375
2026-01-23,3162.5
2026-01-27,3158.0
2026-01-28,3200.10009765625
2026-01-29,3144.39990234375
2026-01-30,3123.89990234375
2026-02-02,3169.60009765625
2026-02-03,3225.300048828125
2026-02-04,2999.10009765625
2026-02-05,2991.5
2026-02-06,2941.60009765625
2026-02-09,2948.199951171875
2026-02-10,2984.60009765625
2026-02-11,2909.800048828125
2026-02-12,2750.10009765625
2026-02-13,2692.199951171875
2026-02-16,2706.60009765625
2026-02-17,2717.39990234375
2026-02-18,2694.89990234375
2026-02-19,2677.89990234375
2026-02-20,2686.199951171875
2026-02-23,2676.300048828125
2026-02-24,2573.699951171875
2026-02-25,2629.300048828125
2026-02-26,2647.699951171875
2026-02-27,2637.39990234375
2026-03-02,2613.5
2026-03-04,2587.800048828125
2026-03-05,2578.800048828125
2026-03-06,2557.60009765625
2026-03-09,2527.39990234375
2026-03-10,2513.10009765625
2026-03-11,2464.89990234375
2026-03-12,2442.39990234375
2026-03-13,2410.5
2026-03-16,2409.199951171875
2026-03-17,2391.699951171875
2026-03-18,2440.800048828125
2026-03-19,2356.0
2026-03-20,2390.60009765625
2026-03-23,2383.800048828125
2026-03-24,2398.800048828125
2026-03-25,2377.39990234375
2026-03-27,2389.800048828125
2026-03-30,2358.89990234375
2026-04-01,2408.199951171875
2026-04-02,2450.699951171875
2026-04-06,2473.89990234375
2026-04-07,2539.800048828125
2026-04-08,2559.199951171875
