ds,y
2026-04-09,2133.199951171875
2026-04-10,2155.300048828125
2026-04-13,2127.199951171875
2026-04-15,2157.60009765625
2026-04-16,2139.10009765625
2026-04-17,2240.800048828125
2026-04-20,2231.5
2026-04-21,2310.699951171875
2026-04-22,2368.800048828125
2026-04-23,2366.39990234375
2026-04-24,2327.300048828125
2026-04-27,2328.300048828125
2026-04-28,2289.5
2026-04-29,2314.39990234375
2026-04-30,2250.89990234375
2026-05-01,2250.89990234375
2026-05-04,2309.300048828125
2026-05-05,2327.39990234375
2026-05-06,2317.10009765625
2026-05-07,2272.199951171875
2026-05-08,
