ds,y
2026-04-20,2579.60009765625
2026-04-21,2610.5
2026-04-22,2538.5
2026-04-23,2521.800048828125
2026-04-24,2396.89990234375
2026-04-27,2447.60009765625
2026-04-28,2444.699951171875
2026-04-29,2474.699951171875
2026-04-30,2473.89990234375
2026-05-01,2473.89990234375
2026-05-04,2431.300048828125
2026-05-05,2427.300048828125
2026-05-06,2435.39990234375
2026-05-07,2401.39990234375
2026-05-08,2394.39990234375
2026-05-11,2392.89990234375
2026-05-12,2300.300048828125
2026-05-13,2272.800048828125
2026-05-14,2246.0
2026-05-15,2264.0
2026-05-18,2283.199951171875
2026-05-19,
