ds,y
2026-01-01,1338.0
2026-01-02,1355.4000244140625
2026-01-05,1371.5
2026-01-06,1411.199951171875
2026-01-07,1427.699951171875
2026-01-08,1435.0
2026-01-09,1404.300048828125
2026-01-12,1413.0999755859375
2026-01-13,1437.0
2026-01-14,1418.4000244140625
2026-01-15,1418.4000244140625
2026-01-16,1410.800048828125
2026-01-19,1380.5999755859375
2026-01-20,1375.800048828125
2026-01-21,1349.0
2026-01-22,1345.5
2026-01-23,1343.4000244140625
2026-01-27,1361.4000244140625
2026-01-28,1367.699951171875
2026-01-29,1383.5999755859375
2026-01-30,1355.0
2026-02-02,1352.800048828125
2026-02-03,1389.699951171875
2026-02-04,1408.4000244140625
2026-02-05,1396.5
2026-02-06,1406.0999755859375
2026-02-09,1396.300048828125
2026-02-10,1406.5
2026-02-11,1406.0999755859375
2026-02-12,1430.0
2026-02-13,1414.5999755859375
2026-02-16,1411.5999755859375
2026-02-17,1407.5
2026-02-18,1408.199951171875
2026-02-19,1388.800048828125
2026-02-20,1394.5
2026-02-23,1399.4000244140625
2026-02-24,1384.800048828125
2026-02-25,1400.5
2026-02-26,1404.9000244140625
2026-02-27,1378.9000244140625
2026-03-02,1374.0
2026-03-04,1365.4000244140625
2026-03-05,1357.5999755859375
2026-03-06,1313.4000244140625
2026-03-09,1278.4000244140625
2026-03-10,1311.9000244140625
2026-03-11,1294.5999755859375
2026-03-12,1266.5
2026-03-13,1254.800048828125
2026-03-16,1272.9000244140625
2026-03-17,1288.699951171875
2026-03-18,1289.300048828125
2026-03-19,1250.0999755859375
2026-03-20,1245.4000244140625
2026-03-23,1222.699951171875
2026-03-24,1251.199951171875
2026-03-25,1259.699951171875
2026-03-27,1233.800048828125
2026-03-30,1205.9000244140625
