ds,y
2026-04-20,1088.2344970703125
2026-04-21,1092.1636962890625
2026-04-22,1083.76513671875
2026-04-23,1074.875244140625
2026-04-24,1081.60400390625
2026-04-27,1092.1636962890625
2026-04-28,1071.9775390625
2026-04-29,1067.655517578125
2026-04-30,1049.5321044921875
2026-05-01,1049.5321044921875
2026-05-04,1049.4830322265625
2026-05-05,1041.133544921875
2026-05-06,1076.5943603515625
2026-05-07,1072.6651611328125
2026-05-08,1001.2523193359376
2026-05-11,956.3615112304688
2026-05-12,957.3438110351562
2026-05-13,952.9234619140624
2026-05-14,962.5499877929688
2026-05-15,963.2000122070312
2026-05-18,939.4000244140624
2026-05-19,
