ds,y,ticker,name
2023-01-02,892.0667114257812,HCLTECH.NS,HCL Technologies
2023-01-03,893.6973266601562,HCLTECH.NS,HCL Technologies
2023-01-04,889.6207885742188,HCLTECH.NS,HCL Technologies
2023-01-05,896.0574340820312,HCLTECH.NS,HCL Technologies
2023-01-06,886.3597412109375,HCLTECH.NS,HCL Technologies
2023-01-09,916.0966186523438,HCLTECH.NS,HCL Technologies
2023-01-10,913.007080078125,HCLTECH.NS,HCL Technologies
2023-01-11,905.2403564453125,HCLTECH.NS,HCL Technologies
2023-01-12,919.7013549804688,HCLTECH.NS,HCL Technologies
2023-01-13,924.9791259765625,HCLTECH.NS,HCL Technologies
2023-01-16,938.6246948242188,HCLTECH.NS,HCL Technologies
2023-01-17,953.5146484375,HCLTECH.NS,HCL Technologies
2023-01-18,957.0333862304688,HCLTECH.NS,HCL Technologies
2023-01-19,962.4456176757812,HCLTECH.NS,HCL Technologies
2023-01-20,959.3281860351562,HCLTECH.NS,HCL Technologies
2023-01-23,970.9322509765625,HCLTECH.NS,HCL Technologies
2023-01-24,985.3505249023438,HCLTECH.NS,HCL Technologies
2023-01-25,972.2745361328125,HCLTECH.NS,HCL Technologies
2023-01-27,966.0828857421875,HCLTECH.NS,HCL Technologies
2023-01-30,982.66650390625,HCLTECH.NS,HCL Technologies
2023-01-31,971.7980346679688,HCLTECH.NS,HCL Technologies
2023-02-01,980.3714599609375,HCLTECH.NS,HCL Technologies
2023-02-02,995.5257568359375,HCLTECH.NS,HCL Technologies
2023-02-03,992.5383911132812,HCLTECH.NS,HCL Technologies
2023-02-06,992.1486206054688,HCLTECH.NS,HCL Technologies
2023-02-07,977.0374755859375,HCLTECH.NS,HCL Technologies
2023-02-08,991.5424194335938,HCLTECH.NS,HCL Technologies
2023-02-09,992.7116088867188,HCLTECH.NS,HCL Technologies
2023-02-10,966.1261596679688,HCLTECH.NS,HCL Technologies
2023-02-13,963.8311157226562,HCLTECH.NS,HCL Technologies
2023-02-14,974.612548828125,HCLTECH.NS,HCL Technologies
2023-02-15,981.0642700195312,HCLTECH.NS,HCL Technologies
2023-02-16,976.950927734375,HCLTECH.NS,HCL Technologies
2023-02-17,960.8436889648438,HCLTECH.NS,HCL Technologies
2023-02-20,966.1693725585938,HCLTECH.NS,HCL Technologies
2023-02-21,957.0765380859375,HCLTECH.NS,HCL Technologies
2023-02-22,946.1651611328125,HCLTECH.NS,HCL Technologies
2023-02-23,947.6806640625,HCLTECH.NS,HCL Technologies
2023-02-24,948.11376953125,HCLTECH.NS,HCL Technologies
2023-02-27,938.6744995117188,HCLTECH.NS,HCL Technologies
2023-02-28,933.17578125,HCLTECH.NS,HCL Technologies
2023-03-01,953.5259399414062,HCLTECH.NS,HCL Technologies
2023-03-02,957.7260131835938,HCLTECH.NS,HCL Technologies
2023-03-03,969.027099609375,HCLTECH.NS,HCL Technologies
2023-03-06,975.6950073242188,HCLTECH.NS,HCL Technologies
2023-03-08,970.4559936523438,HCLTECH.NS,HCL Technologies
2023-03-09,966.9920043945312,HCLTECH.NS,HCL Technologies
2023-03-10,966.6891479492188,HCLTECH.NS,HCL Technologies
2023-03-13,951.361083984375,HCLTECH.NS,HCL Technologies
2023-03-14,938.76123046875,HCLTECH.NS,HCL Technologies
2023-03-15,934.9508666992188,HCLTECH.NS,HCL Technologies
2023-03-16,928.6725463867188,HCLTECH.NS,HCL Technologies
2023-03-17,959.8909301757812,HCLTECH.NS,HCL Technologies
2023-03-20,944.6499633789062,HCLTECH.NS,HCL Technologies
2023-03-21,938.6314086914062,HCLTECH.NS,HCL Technologies
2023-03-22,936.509521484375,HCLTECH.NS,HCL Technologies
2023-03-23,923.0437622070312,HCLTECH.NS,HCL Technologies
2023-03-24,910.7901611328125,HCLTECH.NS,HCL Technologies
2023-03-27,910.5736694335938,HCLTECH.NS,HCL Technologies
2023-03-28,901.5676879882812,HCLTECH.NS,HCL Technologies
2023-03-29,924.4293212890625,HCLTECH.NS,HCL Technologies
2023-03-31,939.80029296875,HCLTECH.NS,HCL Technologies
2023-04-03,950.971435546875,HCLTECH.NS,HCL Technologies
2023-04-05,962.2723999023438,HCLTECH.NS,HCL Technologies
2023-04-06,945.515869140625,HCLTECH.NS,HCL Technologies
2023-04-10,955.2579956054688,HCLTECH.NS,HCL Technologies
2023-04-11,941.3157958984375,HCLTECH.NS,HCL Technologies
2023-04-12,947.8106689453125,HCLTECH.NS,HCL Technologies
2023-04-13,928.1962280273438,HCLTECH.NS,HCL Technologies
2023-04-17,902.5200805664062,HCLTECH.NS,HCL Technologies
2023-04-18,921.2684936523438,HCLTECH.NS,HCL Technologies
2023-04-19,899.4891967773438,HCLTECH.NS,HCL Technologies
2023-04-20,898.449951171875,HCLTECH.NS,HCL Technologies
2023-04-21,908.3654174804688,HCLTECH.NS,HCL Technologies
2023-04-24,912.7822265625,HCLTECH.NS,HCL Technologies
2023-04-25,912.2622680664062,HCLTECH.NS,HCL Technologies
2023-04-26,922.7406616210938,HCLTECH.NS,HCL Technologies
2023-04-27,927.6766967773438,HCLTECH.NS,HCL Technologies
2023-04-28,937.2329711914062,HCLTECH.NS,HCL Technologies
2023-05-02,940.271728515625,HCLTECH.NS,HCL Technologies
2023-05-03,932.6969604492188,HCLTECH.NS,HCL Technologies
2023-05-04,939.611328125,HCLTECH.NS,HCL Technologies
2023-05-05,929.7024536132812,HCLTECH.NS,HCL Technologies
2023-05-08,947.4942626953125,HCLTECH.NS,HCL Technologies
2023-05-09,950.3565673828125,HCLTECH.NS,HCL Technologies
2023-05-10,949.7401733398438,HCLTECH.NS,HCL Technologies
2023-05-11,958.3717651367188,HCLTECH.NS,HCL Technologies
2023-05-12,964.889404296875,HCLTECH.NS,HCL Technologies
2023-05-15,968.6327514648438,HCLTECH.NS,HCL Technologies
2023-05-16,960.6616821289062,HCLTECH.NS,HCL Technologies
2023-05-17,946.4373168945312,HCLTECH.NS,HCL Technologies
2023-05-18,951.1493530273438,HCLTECH.NS,HCL Technologies
2023-05-19,964.7575073242188,HCLTECH.NS,HCL Technologies
2023-05-22,986.3362426757812,HCLTECH.NS,HCL Technologies
2023-05-23,975.3265991210938,HCLTECH.NS,HCL Technologies
2023-05-24,979.3781127929688,HCLTECH.NS,HCL Technologies
2023-05-25,982.945556640625,HCLTECH.NS,HCL Technologies
2023-05-26,1003.3793334960938,HCLTECH.NS,HCL Technologies
2023-05-29,991.92919921875,HCLTECH.NS,HCL Technologies
2023-05-30,1000.4285888671875,HCLTECH.NS,HCL Technologies
2023-05-31,1008.5759887695312,HCLTECH.NS,HCL Technologies
2023-06-01,1005.7576904296875,HCLTECH.NS,HCL Technologies
2023-06-02,1001.4854736328125,HCLTECH.NS,HCL Technologies
2023-06-05,1002.586669921875,HCLTECH.NS,HCL Technologies
2023-06-06,994.0431518554688,HCLTECH.NS,HCL Technologies
2023-06-07,994.4396362304688,HCLTECH.NS,HCL Technologies
2023-06-08,992.41357421875,HCLTECH.NS,HCL Technologies
2023-06-09,977.4404907226562,HCLTECH.NS,HCL Technologies
2023-06-12,1003.775634765625,HCLTECH.NS,HCL Technologies
2023-06-13,996.4213256835938,HCLTECH.NS,HCL Technologies
2023-06-14,1000.4285888671875,HCLTECH.NS,HCL Technologies
2023-06-15,1007.2547607421875,HCLTECH.NS,HCL Technologies
2023-06-16,1011.3063354492188,HCLTECH.NS,HCL Technologies
2023-06-19,1001.9261474609375,HCLTECH.NS,HCL Technologies
2023-06-20,1029.3184814453125,HCLTECH.NS,HCL Technologies
2023-06-21,1030.903564453125,HCLTECH.NS,HCL Technologies
2023-06-22,1024.6942138671875,HCLTECH.NS,HCL Technologies
2023-06-23,1026.2354736328125,HCLTECH.NS,HCL Technologies
2023-06-26,1028.305419921875,HCLTECH.NS,HCL Technologies
2023-06-27,1030.5072021484375,HCLTECH.NS,HCL Technologies
2023-06-28,1030.727294921875,HCLTECH.NS,HCL Technologies
2023-06-30,1046.3170166015625,HCLTECH.NS,HCL Technologies
2023-07-03,1040.7242431640625,HCLTECH.NS,HCL Technologies
2023-07-04,1048.6514892578125,HCLTECH.NS,HCL Technologies
2023-07-05,1052.3507080078125,HCLTECH.NS,HCL Technologies
2023-07-06,1039.8873291015625,HCLTECH.NS,HCL Technologies
2023-07-07,1019.5858154296875,HCLTECH.NS,HCL Technologies
2023-07-10,990.4320068359375,HCLTECH.NS,HCL Technologies
2023-07-11,981.9765014648438,HCLTECH.NS,HCL Technologies
