ds,y
2025-12-29,991.7000122070312
2025-12-30,990.9000244140624
2025-12-31,991.2000122070312
2026-01-01,991.1500244140624
2026-01-02,1001.5999755859376
2026-01-05,977.5
2026-01-06,962.2000122070312
2026-01-07,949.0499877929688
2026-01-08,946.7000122070312
2026-01-09,939.0
2026-01-12,936.9500122070312
2026-01-13,937.3499755859376
2026-01-14,925.4500122070312
2026-01-15,925.4500122070312
2026-01-16,931.0999755859376
2026-01-19,927.9000244140624
2026-01-20,931.2000122070312
2026-01-21,920.3499755859376
2026-01-22,918.7000122070312
2026-01-23,916.0999755859376
2026-01-27,926.4000244140624
2026-01-28,932.7000122070312
2026-01-29,935.5
2026-01-30,929.25
2026-02-02,928.0999755859376
2026-02-03,948.7000122070312
2026-02-04,953.0999755859376
2026-02-05,949.7000122070312
2026-02-06,941.0999755859376
2026-02-09,937.25
2026-02-10,932.4000244140624
2026-02-11,927.0999755859376
2026-02-12,920.5999755859376
2026-02-13,903.9000244140624
2026-02-16,925.7999877929688
2026-02-17,925.7000122070312
2026-02-18,924.7000122070312
2026-02-19,915.5999755859376
2026-02-20,911.8499755859376
2026-02-23,923.5999755859376
2026-02-24,910.5
2026-02-25,907.5999755859376
2026-02-26,898.5999755859375
2026-02-27,887.75
2026-03-02,879.4000244140625
2026-03-04,868.6500244140625
2026-03-05,877.75
2026-03-06,857.0499877929688
2026-03-09,840.7000122070312
2026-03-10,849.4500122070312
2026-03-11,833.9500122070312
2026-03-12,832.75
2026-03-13,817.0
2026-03-16,840.5999755859375
2026-03-17,845.3499755859375
2026-03-18,843.0499877929688
2026-03-19,798.2000122070312
2026-03-20,780.4500122070312
2026-03-23,744.1500244140625
2026-03-24,764.9000244140625
