ds,y
2026-03-27,1348.0999755859375
2026-03-30,1343.9000244140625
2026-04-01,1369.199951171875
2026-04-02,1350.5
2026-04-06,1304.699951171875
2026-04-07,1304.5999755859375
2026-04-08,1347.800048828125
2026-04-09,1330.0
2026-04-10,1350.199951171875
2026-04-13,1315.0999755859375
2026-04-15,1344.0999755859375
2026-04-16,1343.300048828125
2026-04-17,1365.0
2026-04-20,1363.300048828125
2026-04-21,1353.300048828125
2026-04-22,1362.0999755859375
2026-04-23,1343.4000244140625
2026-04-24,1327.800048828125
